Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,4,Hypermarkets,Orange,400-599G,0.8561,102.900452,0.3424,113
2020,4,Hypermarkets,Purple,400-599G,0.3016,68.126832,0.1206,105
2020,4,Hypermarkets,Pink,<200G,0.2712,41.763937,0.0515,0
2020,4,Hypermarkets,Brown,400-599G,0.2237,30.341988,0.0895,0
2020,4,Minimarkets,Green,200-249G,65.925,4037.903364,13.8442,8093
2020,4,Minimarkets,Green,300-349G,0.0015,0.171467,0.0005,2
2020,4,Minimarkets,Green,350-399G,62.98,6338.200409,22.043,8792
2020,4,Minimarkets,Green,400-599G,6.1918,880.140635,3.0959,1462
2020,4,Minimarkets,Green,600-899G,0.5044,80.219931,0.3783,323
2020,4,Minimarkets,Blue,400-599G,8.3434,1553.383466,3.3374,1496
2020,4,Minimarkets,Yellow,350-399G,17.1067,1076.441935,6.1584,2626
2020,4,Minimarkets,Black,200-249G,3.1584,225.61309,0.7264,1774
2020,4,Minimarkets,Black,400-599G,1.2491,242.389454,0.5621,580
2020,4,Minimarkets,Delicate,400-599G,2.3394,258.553945,1.1697,996
2020,4,Minimarkets,Red,350-399G,1.1033,186.019152,0.4082,406
2020,4,Minimarkets,White,<200G,1.1104,98.75062,0.1999,243
2020,4,Minimarkets,Silver,400-599G,0.3346,58.388659,0.1673,0
2020,4,Minimarkets,Purple,400-599G,0.2126,55.786411,0.0851,104
2020,4,Minimarkets,Orange,250-299G,0.0007,0.259456,0.0002,2
2020,4,Minimarkets,Orange,400-599G,0.4675,50.164253,0.187,307
2020,4,Supermarkets,Green,200-249G,156.6125,8413.267214,32.8887,11160
2020,4,Supermarkets,Green,350-399G,95.5966,8971.843249,33.4589,8304
2020,4,Supermarkets,Green,400-599G,20.3404,2762.443039,10.1702,2421
2020,4,Supermarkets,Green,600-899G,0.2203,33.022278,0.1653,65
2020,4,Supermarkets,Blue,400-599G,32.7492,5927.9104,13.0998,2316
2020,4,Supermarkets,Yellow,350-399G,18.3218,1168.584361,6.5958,2651
2020,4,Supermarkets,Black,200-249G,4.8246,343.430485,1.1096,1399
2020,4,Supermarkets,Black,400-599G,3.4998,654.637547,1.5748,1473
2020,4,Supermarkets,Red,350-399G,4.6311,722.763649,1.7135,743
